CMD                             PID
dotnet ./OpenTabletDriver.D     723
dotnet ./OpenTabletDriver.D     723
dotnet ./OpenTabletDriver.D     723
dotnet ./OpenTabletDriver.D     723
dotnet ./OpenTabletDriver.D     723
dotnet ./OpenTabletDriver.D     723
dotnet ./OpenTabletDriver.D     723
dotnet ./OpenTabletDriver.D     723
dotnet ./OpenTabletDriver.D     723
dotnet ./OpenTabletDriver.D     723
dotnet ./OpenTabletDriver.D     723
dotnet ./OpenTabletDriver.D     723
dotnet ./OpenTabletDriver.D     723
dotnet ./OpenTabletDriver.D     723
/usr/lib/power-profiles-dae     739
/usr/lib/power-profiles-dae     739
/usr/lib/power-profiles-dae     739
/usr/lib/power-profiles-dae     739
/usr/lib/udisks2/udisksd        754
/usr/lib/udisks2/udisksd        754
/usr/lib/udisks2/udisksd        754
/usr/lib/udisks2/udisksd        754
/usr/lib/udisks2/udisksd        754
/usr/lib/udisks2/udisksd        754
/usr/lib/at-spi-bus-launche     773
/usr/lib/at-spi-bus-launche     773
/usr/lib/at-spi-bus-launche     773
/usr/lib/at-spi-bus-launche     773
/usr/lib/at-spi-bus-launche     773
/usr/bin/dbus-daemon --conf     780
/usr/lib/at-spi2-registryd      782
/usr/lib/at-spi2-registryd      782
/usr/lib/at-spi2-registryd      782
/usr/lib/at-spi2-registryd      782
/usr/lib/gvfsd                  787
/usr/lib/gvfsd                  787
/usr/lib/gvfsd                  787
/usr/lib/gvfsd                  787
/usr/lib/gvfsd-fuse /run/us     793
/usr/lib/gvfsd-fuse /run/us     793
/usr/lib/gvfsd-fuse /run/us     793
/usr/lib/gvfsd-fuse /run/us     793
/usr/lib/gvfsd-fuse /run/us     793
/usr/lib/gvfsd-fuse /run/us     793
/usr/lib/gvfsd-fuse /run/us     793
/usr/lib/xdg-desktop-portal     802
/usr/lib/xdg-desktop-portal     802
/usr/lib/xdg-desktop-portal     802
/usr/lib/xdg-desktop-portal     802
/usr/lib/xdg-desktop-portal     802
/usr/lib/xdg-document-porta     809
/usr/lib/xdg-document-porta     809
/usr/lib/xdg-document-porta     809
/usr/lib/xdg-document-porta     809
/usr/lib/xdg-document-porta     809
/usr/lib/xdg-document-porta     809
/usr/lib/xdg-document-porta     809
/usr/lib/xdg-permission-sto     813
/usr/lib/xdg-permission-sto     813
/usr/lib/xdg-permission-sto     813
/usr/lib/xdg-permission-sto     813
fusermount3 -o rw,nosuid,no     821
/usr/lib/rtkit-daemon           826
/usr/lib/rtkit-daemon           826
/usr/lib/rtkit-daemon           826
/usr/lib/xdg-desktop-portal     829
/usr/lib/xdg-desktop-portal     829
/usr/lib/xdg-desktop-portal     829
/usr/lib/xdg-desktop-portal     829
/usr/lib/xdg-desktop-portal     829
/usr/lib/xdg-desktop-portal     829
/usr/lib/xdg-desktop-portal     829
/usr/lib/xdg-desktop-portal     829
/usr/lib/xdg-desktop-portal     829
/usr/lib/bluetooth/obexd        834
/usr/bin/python /usr/bin/bl     836
/usr/bin/python /usr/bin/bl     836
/usr/bin/python /usr/bin/bl     836
/usr/bin/python /usr/bin/bl     836
/usr/bin/python /usr/bin/bl     836
[krfcommd]                      839
/usr/bin/pipewire               841
/usr/bin/pipewire               841
/usr/bin/pipewire-media-ses     854
/usr/bin/pipewire-media-ses     854
python /home/demonkingswarn     855
python /home/demonkingswarn     855
python /home/demonkingswarn     855
python /home/demonkingswarn     855
/usr/bin/pipewire-pulse         865
/usr/bin/pipewire-pulse         865
Xwayland :0 -rootless -core    1154
Xwayland :0 -rootless -core    1154
Xwayland :0 -rootless -core    1154
Xwayland :0 -rootless -core    1154
Xwayland :0 -rootless -core    1154
Xwayland :0 -rootless -core    1154
Xwayland :0 -rootless -core    1154
Xwayland :0 -rootless -core    1154
Xwayland :0 -rootless -core    1154
Xwayland :0 -rootless -core    1154
[vidmem lazy free]             1229
[UVM GPU1 BH]                  1230
[UVM GPU1 KC]                  1231
/usr/lib/upowerd               1500
/usr/lib/upowerd               1500
/usr/lib/upowerd               1500
/usr/lib/upowerd               1500
[kworker/4:1-mm_percpu_wq]    29321
[kworker/2:1-events]          37385
[kworker/6:1-mm_percpu_wq]    39035
[kworker/7:2-mm_percpu_wq]    39170
[irq/128-mei_me]              41456
[nvidia]                      41457
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
/usr/bin/wezterm-gui          41521
